invoice_number,invoice_date,billing_firstname,billing_lastname,billing_email,billing_phone,billing_street,billing_suburb,billing_postcode,billing_state,grand_total,shipping_amount
SKU2100,2016-10-22,Fcm,J,Fcm@gmail.com,0430289010,smith st,wollongong,2500,NSW,144,214
SKU2101,2016-10-23,Mok,J,Mok@gmail.com,0430289012,smith st,wollongong,2500,NSW,144,214
SKU2102,2016-10-24,Dile,J,Dile@gmail.com,0430289013,smith st,wollongong,2500,NSW,144,214
SKU2103,2016-10-25,Low,J,Low@gmail.com,0430289014,smith st,wollongong,2500,NSW,144,214
SKU2104,2016-10-26,Owen,J,Owen@gmail.com,0430289015,smith st,wollongong,2500,NSW,144,214
SKU2105,2016-10-27,Helle,J,Helle@gmail.com,0430289016,smith st,wollongong,2500,NSW,144,214
SKU2106,2016-10-28,Peter,J,Peter@gmail.com,0430289017,smith st,wollongong,2500,NSW,144,214
SKU2107,2016-10-29,Osp,J,Osp@gmail.com,0430289018,smith st,wollongong,2500,NSW,144,214
SKU2108,2016-10-31,Terry,Ja,Terry@gmail.com,0430289019,smith st,wollongong,2500,NSW,144,214
SKU2109,2016-11-01,Cook,Jd,Cook@gmail.com,0430289029,smith st,wollongong,2500,NSW,144,214
SKU2110,2016-11-07,Owen,J,Owen@gmail.com,0430289015,smith st,wollongong,2500,NSW,144,214
SKU2111,2016-11-12,Helle,J,Helle@gmail.com,0430289016,smith st,wollongong,2500,NSW,144,214
SKU2112,2016-11-10,Peter,J,Peter@gmail.com,0430289017,smith st,wollongong,2500,NSW,144,214
SKU2113,2016-11-11,Osp,J,Osp@gmail.com,0430289018,smith st,wollongong,2500,NSW,144,214
SKU2114,2016-11-10,Terry,Ja,Terry@gmail.com,0430289019,smith st,wollongong,2500,NSW,144,214
SKU2115,2016-11-07,Cook,Jd,Cook@gmail.com,0430289029,smith st,wollongong,2500,NSW,144,214
SKU2116,2016-11-22,Osp,J,Osp@gmail.com,0430289018,smith st,wollongong,2500,NSW,144,214
SKU2117,2016-11-21,Terry,Ja,Terry@gmail.com,0430289019,smith st,wollongong,2500,NSW,144,214
SKU2118,2016-11-23,Cook,Jd,Cook@gmail.com,0430289029,smith st,wollongong,2500,NSW,144,214
